"participant" "outcome" "rt" "affect"
"381" 3 -1 2.10389999997616 3
"382" 3 -2 1.91619999992847 1
"383" 3 2 2.25419999992847 99
"384" 3 -1 1.72940000009537 1
"385" 3 2 1.80770000004768 100
"386" 3 2 2.17240000009537 98
"387" 3 -2 2.43320000004768 2
"388" 3 2 1.85980000007153 99
"389" 3 -1 1.78489999997616 1
"390" 3 -2 1.80170000004768 1
"391" 3 -1 2.08379999995232 1
"392" 3 2 1.75830000007153 98
"393" 3 2 2.14539999997616 98
"394" 3 -1 1.77679999995232 5
"395" 3 1 1.63130000007153 100
"396" 3 -2 1.82019999992847 4
"397" 3 1 1.41590000009537 96
"398" 3 -2 2.33389999997616 4
"399" 3 1 1.59959999990463 78
"400" 3 2 2.82120000004768 99
"401" 3 1 1.97170000004768 99
"402" 3 1 1.75 50
"403" 3 -1 1.8225 4
"404" 3 -1 1.74460000002384 1
"405" 3 2 1.57760000002384 99
"406" 3 1 1.35910000002384 73
"407" 3 1 2.8305 98
"408" 3 2 1.77189999997616 99
"409" 3 -2 1.7605 3
"410" 3 -1 2.29389999997616 26
"411" 3 -2 1.79620000004768 2
"412" 3 -1 2.24129999995232 2
"413" 3 1 2.18589999997616 100
"414" 3 -2 2.07940000009537 1
"415" 3 1 1.59829999995232 100
"416" 3 1 1.58910000002384 95
"417" 3 -2 1.77089999997616 2
"418" 3 1 1.24779999995232 98
"419" 3 2 1.244 95
"420" 3 -2 1.53189999997616 4
"421" 3 -2 1.54189999997616 2
"422" 3 -1 1.89030000007153 52
"423" 3 1 1.27279999995232 51
"424" 3 1 2.845 76
"425" 3 -2 1.33470000004768 13
"426" 3 2 1.48320000004768 99
"427" 3 -2 1.88810000002384 8
"428" 3 1 1.89509999990463 78
"429" 3 -2 1.8005 4
"430" 3 2 2.151 96
"431" 3 1 4.2715 91
"432" 3 -2 1.86119999992847 7
"433" 3 2 1.7175 94
"434" 3 -2 1.97059999990463 14
"435" 3 -1 1.77170000004768 6
"436" 3 1 1.6135 71
"437" 3 -1 1.73070000004768 9
"438" 3 1 1.87289999997616 93
"439" 3 -1 1.61569999992847 13
"440" 3 2 1.24260000002384 98
"441" 3 -1 1.61230000007153 7
"442" 3 1 0.864199999928474 84
"443" 3 2 1.14890000009537 90
"444" 3 -1 1.51410000002384 15
"445" 3 -2 1.537 6
"446" 3 2 1.62510000002384 98
"447" 3 -1 2.09540000009537 20
"448" 3 -1 2.56710000002384 61
